delay,frac
0,.0026246719
1,.092738405
2,.13473316
3,.10279965
4,.083989501
5,.06474191
6,.055555556
7,.033683289
8,.035870515
9,.023622047
10,.017060367
11,.01312336
12,.01487314
13,.01487314
14,.015310586
15,.018810149
16,.014435695
17,.019247593
18,.0083114607
19,.010061243
20,.0052493438
21,.0074365702
22,.0091863517
23,.0087489067
24,.0087489067
25,.0056867893
26,.0087489067
27,.0074365702
28,.0039370079
29,.0078740157
30,.0069991252
31,.010061243
32,.011373579
33,.0061242343
34,.0096237967
35,.0052493438
36,.0052493438
37,.0069991252
38,.0091863517
39,.0061242343
40,.0048118983
41,.0021872267
42,.0043744533
43,.0021872267
44,.0026246719
45,.0030621171
46,.0034995626
47,.0048118983
48,.0048118983
49,.0030621171
50,.0048118983
51,.0052493438
52,.0043744533
53,.0034995626
54,.00087489065
55,.0030621171
56,.0030621171
57,.0030621171
58,.0034995626
59,.0034995626
60,.0030621171
